model_name,price
"Lenovo Thinkpad X1 Carbon Series Gen 8 (Intel Core i7s 10th Gen 14 Inch)","₹34999"
"Lenovo Thinkpad L Series L14 Gen 2 Touch Screen (Intel Core i5 11th Gen 14 Inch)","₹29999"
"Lenovo Thinkpad X Series X1 Carbon Gen 9 (Intel Core i7 11th Gen 14 Inch)","₹39999"
"Lenovo Thinkpad T Series T14 Gen 1 Touch screen (Intel Core i7 10th Gen 14 Inch)","₹37999"
"Lenovo Thinkpad E Series Thinkpad E15 Gen 2 (Intel Core i3 11th Gen 15.6 Inch)","₹26599"
"Lenovo Chromebook Series 14e Touch Screen (AMD-A6-9220 14 Inch)","₹13999"
"Lenovo Thinkpad E Series E14 Gen 2 (Intel Core i3 11th Gen 14 Inch)","₹19999"
"Lenovo Thinkpad P Series P15s Gen 1 (Intel Core i7 10th Gen 15.6 Inch)","₹35899"
"Lenovo Thinkpad T Series T14 GEN 1 (Intel Core i5 10th Gen 14 Inch)","₹26499"
"Lenovo S Series S14 G3 IAP (Intel Core i5 12th Gen 14 Inch)","₹34999"
"Lenovo Legion 5 Series PRO-16ACH6H (AMD Ryzen7 5000H Series 16 Inch)","₹39999"
"Lenovo Thinkpad P Series P14s Gen 2i (Intel Core i7 11th Gen 14 Inch)","₹39999"
"Lenovo Thinkpad E Series E470 (Intel Core i3 7th Gen 14 Inch)","₹14999"
"Lenovo ThinkPad X1 Carbon Gen 9 (Intel Core i5 11th Gen 14 Inch)","₹53299"
"Lenovo Thinkpad T Series T14 Gen 5 (Intel Core Ultra 7 14 Inch)","₹79999"
"Lenovo Thinkpad E Series E14 Gen 3 (AMD Ryzen5 5000U Series 14 Inch)","₹24999"
"Lenovo Yoga Slim 6i Series 14IRH8 (Intel Core i5 13th Gen 14 Inch)","₹44999"
"Lenovo Thinkpad X Series X1 Carbon Gen 8 (Intel Core i7 10th Gen 14 Inch)","₹37999"
"Lenovo V Series V14-IIL (Intel Core i5 10th Gen 14 Inch)","₹26899"
"Lenovo Thinkpad L Series L14 Touch Screen (Intel Core i5 10th Gen 14 Inch)","₹28299"
"Lenovo Thinkpad E Series E14 Gen 2 (Intel Core i7 11th Gen 14 Inch)","₹33999"
"Lenovo ThinkBook Series 14s Yoga G2 IAP Touch Screen (Intel Core i7 12th Gen 14 Inch)","₹43899"
"Lenovo Lenovo LOQ Series 15IRX9 (Intel Core i5 13th Gen 15.6 Inch)","₹38999"
"Lenovo Thinkpad L Series L380 (Intel Core i7 8th Gen 13.3 Inch)","₹23999"
"Lenovo Thinkpad P Series P15s Gen 2i (Intel Core i7 11th Gen 15.6 Inch)","₹37999"
"Lenovo ideapad Slim 5 Series 16ABR8 (AMD Ryzen7 7000U Series 16 Inch)","₹38299"
"Lenovo Thinkpad T Series T14 Gen 1 Touch screen (Amd Ryzen7 Pro 4000U Series 14 Inch)","₹31799"
"Lenovo Thinkpad T Series T14 GEN 1 (Amd Ryzen7 Pro 4000U Series 14 Inch)","₹31999"
"Lenovo Thinkpad L Series L14 GEN 1 (Intel Core i7 10th Gen 14 Inch)","₹31999"
"Lenovo Thinkpad E Series E14 (Intel Core i3 10th Gen 14 Inch)","₹16999"
"Lenovo Thinkpad L Series L490 TOUCH SCREEN (Intel Core i5 8th Gen 14 Inch)","₹22399"
"Lenovo Thinkpad L Series L14 Gen 2 (Intel Core i3 11th Gen 14 Inch)","₹21999"
